Main ID,Incident ID,Region,Incident Date,Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Country of Origin,Location of death,Information Source,Coordinates,Migration route,URL,UNSD Geographical Grouping,Source Quality
2023.MMP0029,2023.MMP0029,Central America,"Thu, 01/12/2023 - 12:00",2023,January,1,,1,,,,1,Central America,Violence,El Salvador,"Salvador Chavarria General Hospital, Bulevar Centenario 901, Ejido Villa de Fuente, 26090 Piedras Negras, Coahuila, México","Zócalo, Super Channel 12","28.661091, -100.54084",US-Mexico border crossing,"https://archive.ph/sosQR, https://archive.ph/B481s",Central America,3
2023.MMP0030,2023.MMP0030,Central America,"Mon, 01/09/2023 - 12:00",2023,January,1,,1,,,1,,South America,Mixed or unknown,Ecuador,"Instituto Mexicano del Serguro Social Hospital, Ciudad Juárez, Chihuhua, Mexico","El Comercio Ecuador, El Diario Ecuador","31.736812, -106.509618",US-Mexico border crossing,"https://archive.ph/gwV2S, https://archive.ph/qdCdt",Central America,3
2023.MMP0031,2023.MMP0031,Caribbean,"Wed, 01/11/2023 - 12:00",2023,January,,10,10,,1,,,Caribbean,Drowning,Cuba,"Caibarén Beach, Villa Clara Province, Cuba","Periodico Cubano, ADN Cuba","22.51442, -79.453847",Caribbean to US,"https://archive.ph/gEb51, https://archive.ph/S6bH3",Caribbean,3
2023.MMP0032,2023.MMP0032,Caribbean,"Sat, 01/14/2023 - 12:00",2023,January,4,,4,,,4,,Caribbean,Drowning,Haiti,"Masacre River (natural borderline between Haiti and the Dominican Republic) Dajabón, Dominican Republic","Al Momento, 7 Días, La Informacion, El Caribe","19.660697, -71.734428",Haiti to Dominican Republic,"https://archive.ph/0S0St, https://archive.ph/Dk0uv, https://archive.ph/HvExh, https://archive.ph/xOYmG",Caribbean,3
2023.MMP0033,2023.MMP0033,Western Asia,"Wed, 01/18/2023 - 12:00",2023,January,1,,1,,,1,,Western Asia,Sickness / lack of access to adequate healthcare,Syrian Arab Republic,"On route between Chadra and Andqet, Akkar, Lebanon","Lebanon 24, Atahari News, Baladi News","34.61342591, 36.318928",,"https://archive.vn/25QZg, https://archive.vn/iJL9F, https://archive.vn/wsCzp",Western Asia,3
2023.MMP0034,2023.MMP0034,Mediterranean,"Wed, 01/25/2023 - 12:00",2023,January,2,1,3,,,2,,Northern Africa,Drowning,Morocco,"Remains washed ashore at the Port of Ceuta, Spain","EFE, La Vanguardia, El Foro de Ceuta, Al Akbahr Press","35.89431032, -5.312755",Western Mediterranean,"https://archive.ph/XhGjm, https://archive.ph/9mpzH, https://archive.ph/XHhQ3",Uncategorized,3
2023.MMP0035,2023.MMP0035,Central America,"Tue, 01/17/2023 - 12:00",2023,January,1,,1,,,1,,Latin America / Caribbean (P),Accidental death,Unknown,"International Railway Bridge, on César López de Lara Ave, Nuevo Laredo, Tamaulipas, Mexico","La Jornada, Head Topics Mexico","27.495627, -99.516229",US-Mexico border crossing,"https://archive.ph/DjDmV, https://archive.ph/ZOYKc",Central America,3
2023.MMP0036,2023.MMP0036,Central America,"Mon, 01/16/2023 - 12:00",2023,January,,1,1,,,,1,Central America,Mixed or unknown,Honduras,"Nisperos Colony, Piedras Negras, Coahuila, Mexico","Zócalo, Super Channel 12","28.701532, -100.529216",US-Mexico border crossing,"https://archive.ph/VEkHq, https://archive.ph/ayjVu",Central America,3
2023.MMP0037,2023.MMP0037,Caribbean,"Tue, 01/10/2023 - 12:00",2023,January,,13,13,,1,6,,Caribbean,Drowning,Dominican Republic,"Los Haitises National Park,Sánchez, Samaná Bay, Dominican Republic","Diario Libre, El Nuevo Diario Dominicana,Proceso Dominicana","19.139006, -69.638542",Dominican Republic to Puerto Rico,"https://archive.ph/7qkTp, https://archive.ph/4ilRk, https://archive.ph/ZyRjC",Caribbean,3
2023.MMP0038,2023.MMP0038,Caribbean,"Tue, 01/17/2023 - 12:00",2023,January,,26,26,,13,8,3,South America,Drowning,Venezuela (Bolivarian Republic of),International Waters somewhere in the Caribbean Sea between San Andres y Providencia and Bluefields Nicaragua,"Armada de Colombia, El País, La Prensa Nicaragua","12.647071, -82.891503",,"https://archive.ph/fQ9iP, https://archive.ph/Mj6H8, https://archive.ph/oL6ka",Caribbean,5
2023.MMP0039,2023.MMP0039,North America,"Thu, 01/19/2023 - 12:00",2023,January,1,,1,,,1,,Central America,Vehicle accident / death linked to hazardous transport,Guatemala,"US 277 Eagle Pass to Del Rio, Val verde County, Texas, United States of America",El Tiempo Monclova,"29.347032, -100.867173",US-Mexico border crossing,https://archive.ph/vZFX9,Northern America,1
2023.MMP0040,2023.MMP0040,Central America,"Mon, 01/23/2023 - 12:00",2023,January,1,,1,,,1,,Central America,Violence,Mexico,"Uninhabited place between Allende and Villa Union, Zona Centro Piedras Negras Coahuila,Mexico","Zócalo, Super Channel 12, Periodico La Voz","28.702423, -100.516284",US-Mexico border crossing,"https://archive.ph/OP167, https://archive.ph/pcHHL, https://archive.ph/blnuo",Central America,3
2023.MMP0041,2023.MMP0041,Central America,"Mon, 01/23/2023 - 12:00",2023,January,2,,2,,,2,,Caribbean,Violence,Cuba,"La Silla Hotel,Calle Juan Méndez Nte 1518, Sarabia, 64490 Monterrey, Nuevo Leon, Mexico","Cibercuba, Telediario","25.688443, -100.314975",US-Mexico border crossing,"https://archive.ph/JjZZi, https://archive.ph/gyGxR",Central America,3
2023.MMP0042,2023.MMP0042,Mediterranean,"Wed, 01/25/2023 - 12:00",2023,January,,4,4,95,,,,Sub-Saharan Africa (P),Drowning,Unknown,"Approximately 50 km NE of Tripoli, Libya",SOS Mediterranee,"33.578333, 14.041667",Central Mediterranean,https://archive.ph/GF6Rc,Uncategorized,4
2023.MMP0043,2023.MMP0043,Caribbean,"Mon, 01/23/2023 - 12:00",2023,January,5,10,15,11,1,,,Caribbean,Drowning,Cuba,"Off the coast of Cardenas, near Cayo Cruz de Padre, Cuba","Cibercuba, Journal de Brasilia, Radio Ciudad Badera, Guardian, ADN Cuba","23.269464, -80.880242",Caribbean to US,"https://archive.ph/ZUDQU, https://archive.ph/fIOh2, https://archive.ph/3WN53, https://archive.ph/g66K3, https://archive.ph/UxSTJ",Caribbean,4
2023.MMP0044,2023.MMP0044,Mediterranean,"Sun, 01/29/2023 - 12:00",2023,January,,13,13,24,,,,Sub-Saharan Africa,Drowning,Unknown,"Off the coast of La Louata, Sfax, Tunisisa",Tunisian Guarde Nationale Maritime statement,"35.051199, 10.999545",Central Mediterranean,https://archive.ph/OF2cF,Uncategorized,5
2023.MMP0045,2023.MMP0045,Europe,"Thu, 01/19/2023 - 12:00",2023,January,1,,1,,,1,,Western Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Yemen,Unspecified location on the Belarus-Poland border,"Middle East Monitor, Ministry of Foreign Affairs Yemen facebook post, Grupa Granica","51.762542, 23.594236",Belarus-EU border,"https://archive.ph/7OA3l, https://www.facebook.com/mofa.gov.ye/posts/pfbid037BxNVWSb7cA5RFLBQrX5vd4v58fve9rxobLDaxQMhm6y23qPM52vdweRqn6ZmpMVl",Eastern Europe,5
2023.MMP0046,2023.MMP0046,Europe,"Thu, 01/12/2023 - 12:00",2023,January,,1,1,,,,,Western Asia (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,Unspecified location in the wetlands of Eastern Poland the Belarus-Poland border,"InfoMigrants, Reuters, Yemen Embassy in Germany facebook post","52.096721, 23.593233",Belarus-EU border,"https://archive.ph/HwHaQ, https://archive.ph/AGLIP, https://www.facebook.com/permalink.php?story_fbid=pfbid02syJMmYZc7reYByP8N1718tERL8kQAfDnMTwYdRg8Mp2pCYRaqxm43eBD1M5mQCJSl&id=100066361099133",Eastern Europe,5
2023.MMP0047,2023.MMP0047,Europe,"Fri, 01/13/2023 - 12:00",2023,January,,1,1,,,,,Western Asia (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,Unspecified location in the wetlands of Eastern Poland the Belarus-Poland border,"InfoMigrants, Reuters, Yemen Embassy in Germany facebook post","52.096721, 23.593233",Belarus-EU border,"https://archive.ph/HwHaQ, https://archive.ph/AGLIP, https://www.facebook.com/permalink.php?story_fbid=pfbid02syJMmYZc7reYByP8N1718tERL8kQAfDnMTwYdRg8Mp2pCYRaqxm43eBD1M5mQCJSl&id=100066361099133",Eastern Europe,5
2023.MMP0048,2023.MMP0048,Mediterranean,"Tue, 01/24/2023 - 12:00",2023,January,3,3,6,92,,3,,Western Africa,Drowning,Gambia,"60 km East of Tripoli, Libya, off the coast of Garabulli (Castelverde), Libya","IOM Libya, Libya RC tweet, AP, Libyan Red Cresent, Info Migrants","32.902656, 13.737635",Central Mediterranean,"https://archive.ph/lTF7F, https://archive.ph/qWThv, https://archive.ph/zTt8F",Uncategorized,5
2023.MMP0048,2023.MMP004855,Mediterranean,"Tue, 01/24/2023 - 12:00",2023,January,2,,2,,,2,,Northern Africa,Drowning,Sudan,"60 km East of Tripoli, Libya, off the coast of Garabulli (Castelverde), Libya","IOM Libya, Libya RC tweet, AP, Libyan Red Cresent, Info Migrants","32.902656, 13.737635",Central Mediterranean,"https://archive.ph/lTF7F, https://archive.ph/qWThv, https://archive.ph/zTt8F",Uncategorized,5
2023.MMP0048,2023.MMP004856,Mediterranean,"Tue, 01/24/2023 - 12:00",2023,January,2,,2,,,2,,Western Africa,Drowning,Nigeria,"60 km East of Tripoli, Libya, off the coast of Garabulli (Castelverde), Libya","IOM Libya, Libya RC tweet, AP, Libyan Red Cresent, Info Migrants","32.902656, 13.737635",Central Mediterranean,"https://archive.ph/lTF7F, https://archive.ph/qWThv, https://archive.ph/zTt8F",Uncategorized,5
2023.MMP0048,2023.MMP004857,Mediterranean,"Tue, 01/24/2023 - 12:00",2023,January,1,,1,,,1,,Sub-Saharan Africa (P),Drowning,Unknown,"60 km East of Tripoli, Libya, off the coast of Garabulli (Castelverde), Libya","IOM Libya, Libya RC tweet, AP, Libyan Red Cresent, Info Migrants","32.902656, 13.737635",Central Mediterranean,"https://archive.ph/lTF7F, https://archive.ph/qWThv, https://archive.ph/zTt8F",Uncategorized,5
2023.MMP0049,2023.MMP0049,Northern Africa,"Tue, 01/10/2023 - 12:00",2023,January,1,,1,,,,,Sub-Saharan Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location in the Ras Asfour forest, Morocco","24saa, HesPress","34.521539, -1.842868",,"https://archive.ph/LoKDY, https://archive.ph/ikH8b",Northern Africa,3
2023.MMP0050,2023.MMP0050,Northern Africa,"Sat, 01/21/2023 - 12:00",2023,January,1,,1,,,,,Sub-Saharan Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location in the outskirts of Sidi Boubker, Morocco","24saa, HesPress","31.822385, -7.054132",,"https://archive.ph/LoKDY, https://archive.ph/ikH8b",Northern Africa,3
2023.MMP0051,2023.MMP0051,Northern Africa,"Thu, 01/26/2023 - 12:00",2023,January,1,,1,,1,,,Northern Africa,Sickness / lack of access to adequate healthcare,Morocco,"Unspecified location between Nador and Melilla, Morocco","Dalil Rif, Bladi","35.269076, -2.934889",,"https://archive.ph/vqkV7, https://archive.ph/IeZ8N",Northern Africa,3
2023.MMP0052,2023.MMP0052,Mediterranean,"Tue, 01/31/2023 - 12:00",2023,January,1,,1,17,,1,,Western Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Syrian Arab Republic,"Limionas beach, near Limniona, Evia, Greece","IOM Greece, IEFIMeridia, Prisma Radio, News 247 Greece, TV Star","38.713538, 23.752337",Eastern Mediterranean,"https://archive.ph/KYB9n, https://archive.ph/EYLdF, https://archive.ph/Lxsmb, https://archive.ph/XKFp9",Eastern Europe,4
2023.MMP0053,2023.MMP0053,Europe,"Tue, 01/31/2023 - 12:00",2023,January,1,,1,,,1,,Western / Southern Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location near the Polish border in the Pruzhany region, Belarus","IOM Minsk, Investigative Committee of the Republic of Belarus","52.67688, 23.884845",Belarus-EU border,https://archive.ph/TL17c,Eastern Europe,5
2023.MMP0054,2023.MMP0054,North America,"Mon, 01/23/2023 - 12:00",2023,January,1,,1,,,1,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Glass Ranch near US FM 2644 between Indio and Carrizo Springs, Dimmit County, Texas, United States of America",Zócalo,"28.538407, -99.852031",US-Mexico border crossing,https://archive.ph/7gLKh,Northern America,1
2023.MMP0055,2023.MMP0055,South America,"Sat, 01/28/2023 - 12:00",2023,January,25,,25,,,6,,Caribbean,Vehicle accident / death linked to hazardous transport,Haiti,"At kilometer 121 of the Panamerican Highway North, Piura, Perú","Trome Perú, El Estímulo","-4.551278, -81.213387",,"https://archive.ph/ntYgF, https://archive.ph/8zY2B",South America,3
2023.MMP0056,2023.MMP005665,Mediterranean,"Fri, 02/03/2023 - 12:00",2023,February,8,,8,42,3,,,Sub-Saharan Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",Mixed/Unknown,"In Maltese SAR Zone, 42 miles off Lampedusa, Italy - embarkation from Sfax, Tunisia","IOM Italy, AnsaMed, Repubblica, La Sicilia, InfoMigrants","34.93300459, 12.35892",Central Mediterranean,"https://archive.vn/xydNC, https://archive.ph/dxDQC, https://archive.ph/1LDED",Uncategorized,4
2023.MMP0056,2023.MMP005666,Mediterranean,"Fri, 02/03/2023 - 12:00",2023,February,,1,1,,,,1,Sub-Saharan Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"In Maltese SAR Zone, 42 miles off Lampedusa, Italy - embarkation from Sfax, Tunisia","IOM Italy, AnsaMed, Repubblica, La Sicilia","34.93300459, 12.35892",Central Mediterranean,"https://archive.vn/xydNC, https://archive.ph/dxDQC, https://archive.ph/1LDED",Uncategorized,4
2023.MMP0056,2023.MMP005667,Mediterranean,"Fri, 02/03/2023 - 12:00",2023,February,,1,1,,,1,,Sub-Saharan Africa,Drowning,Unknown,"In Maltese SAR Zone, 42 miles off Lampedusa, Italy - embarkation from Sfax, Tunisia","IOM Italy, AnsaMed, Repubblica, La Sicilia","34.93300459, 12.35892",Central Mediterranean,"https://archive.vn/xydNC, https://archive.ph/dxDQC, https://archive.ph/1LDED",Uncategorized,4
2023.MMP0057,2023.MMP005768,Mediterranean,"Sun, 02/05/2023 - 12:00",2023,February,2,3,5,42,1,,1,Sub-Saharan Africa (P),Drowning,Unknown,"Off Panteli Southeast of Leros, Greece",HCG via IOM Greece,"37.13936441, 26.931293",Eastern Mediterranean,https://archive.vn/eIVJU,Uncategorized,5
2023.MMP0057,2023.MMP005769,Mediterranean,"Sun, 02/05/2023 - 12:00",2023,February,3,0,3,-3,,,3,Sub-Saharan Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"General Hospital of Leros, Leros, Greece",HCG via IOM Greece,"37.1326408, 26.847337",Eastern Mediterranean,https://archive.vn/KMO10,Uncategorized,5
2023.MMP0058,2023.MMP0058,Europe,"Mon, 02/06/2023 - 12:00",2023,February,1,,1,,,1,,Western Asia,"Harsh environmental conditions / lack of adequate shelter, food, water",Iraq,"5 meters away from fence with Poland, Belarus",Belarus Border Committee,"52.69701401, 23.913122",Belarus-EU border,https://archive.vn/8iGFc,Eastern Europe,5
